CookerStat, GenerateAssetRegistry=0.064317, Initialize=0.256952, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AF4299594407C061A11DD5A840ECA22D__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=1742, Duration=3.146451, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AAB8A1824800B063F239759B59731F12__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2600, Duration=3.532678, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0D1522D6494594FEB614EBB239B7BDE4__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=3375, Duration=3.388680, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6FFA4F5643EE0AF72D4E5EAFB5C94993__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=1575, Duration=3.044054, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B06018B04BF57DD58EEADABF0B46D6E3__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2960, Duration=3.278926, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FBEFB1524A343415CD4C94B6C3881C9E__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2933, Duration=2.967577, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_84758E164AD671DDD65142878FE62B3E__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=3165, Duration=3.675390, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F76542BF4D71A80270A5D8952092E428__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2659, Duration=3.122132, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_066A380F420108580B1B398C10EE9A80__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=1453, Duration=3.189329, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6AF23AE843228F79F3818DB81F9AFFBC__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=1111, Duration=3.473800, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BD4A2963410BF5D65315F882E760CF1C__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=2503, Duration=3.511239, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7DFDC8A04F60507234AC5EAC42810E91__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=3200, Duration=3.714431, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5DEB52004108A50A26A31D9FC83BB20B__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=4793, Duration=3.789630, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_42C5CFB241EC6AB6B95C02B9E4EC3896__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=3167, Duration=3.496516, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
